GHS Number,GHS Title
GHS 1,All Your Anxiety
GHS 2,Come Unto Me
GHS 3,Impatient Heart/ Be Still
GHS 4,Leave It There
GHS 5,Never Give Up
GHS 6,Yield Not To Temptation
GHS 7,Turn Your Eyes Upon Jesus
GHS 8,Blessed Be The Name
GHS 9,Great Is Thy Faithfulness
GHS 10,Oh/ For A Thousand Tongues To Sing!
GHS 11,Holy/ Holy/ Holy
GHS 12,Praise Him! Praise Him!
GHS 13,To God Be The Glory
GHS 14,How Great Thou Art
GHS 15,O Worship The King
GHS 16,If God Be For Us
GHS 17,Nothing But The Blood Of Jesus
GHS 18,Blessed Assurance
GHS 19,Christ Jesus Hath The Power
GHS 20,The Way/ The Truth/ The Life
GHS 21,Will Your Anchor Hold?
GHS 22,Simply Trusting Everyday
GHS 23,No Other Plea
GHS 24,It Is Well With My Soul
GHS 25,Now I Belong To Jesus
GHS 26,I Know Whom I Have Believed
GHS 27,I Am Bound For Canaan
GHS 28,I’M Living In Canaan
GHS 29,I Know Who Holds Tomorrow
GHS 30,I’Ve Anchored In Jesus
GHS 31,He Touched Me
GHS 32,Heaven Came Down
GHS 33,Since Jesus Came Into My Heart
GHS 34,Constantly Abiding
GHS 35,A New Name In Glory
GHS 36,My Name’S Written There
GHS 37,When I See The Blood
GHS 38,Have You Been To Jesus ?
GHS 39,Power In The Blood
GHS 40,Wash Me/ O Lamb Of God
GHS 41,Onward/ Christian Soldiers!
GHS 42,Close To Thee
GHS 43,Trust And Obey
GHS 44,Come Over
GHS 45,Jesus/ My Strength/ My Hope
GHS 46,A Christian Home
GHS 47,Just Obey
GHS 48,Tis So Sweet To Trust In Jesus
GHS 49,Let Others See Jesus In You
GHS 50,Count Your Blessings
GHS 51,That Blessed Canaan Land
GHS 52,Count Me
GHS 53,So Send I You
GHS 54,I Am Ready For Service
GHS 55,Anywhere With Jesus
GHS 56,I Love/ I Love My Master
GHS 57,They That Wait Upon The Lord
GHS 58,The Last Mile Of The Way
GHS 59,Little Is Much When God Is In It
GHS 60,Where Could I Go?
GHS 61,Lord/ Speak To Me/ That I May Speak
GHS 62,Go/ Labour On
GHS 63,Will There Be Any Stars?
GHS 64,The Old Rugged Cross
GHS 65,O How I Love Jesus
GHS 66,Jesus Is The Sweetest Name I Know
GHS 67,My Jesus I Love Thee
GHS 68,Saviour/ Like A Shepherd Lead Us
GHS 69,Christ Be Beside Me
GHS 70,Have You Any Room For Jesus?
